,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADDRESS,BANK,ATM_ID,COORD_X,COOR_Y,WITHIN500,WITHIN1000,FREGUESIA,MWay_Dist,Police_Dis,V_Index,PARISH,NUMBER,N_INCOME,INCOME,N_DENSITY,DENSITY,N_AGE,AGE,N_UNP_RATE,UNP_RATE,N_COM_DENS,COM_DENS,N_FREQ_ATTACK,FREQ_ATTACK,N_MANUAL_ATK,MANUAL_ATK,N_LOGIC_ATK,LOGIC_ATK,N_FRAUD_ATTACK,FRAUD_ATTACK,N_CARD_SKIMMING,CARD_SKIMMING,N_CARD_TRAPPING,CARD_TRAPPING,N_CASH_TRAPPING,CASH_TRAPPING,N_TRANS_REVER,TRANS_REVER,N_PHYS_ATTACK,PHYS_ATTACK,N_BURGLARY,BURGLARY,N_RAM_RAIDS,RAM_RAIDS,N_EXPLO_GAS,EXPLO_GAS,N_VANDALISM,VANDALISM,N_LOG_NETWORK,LOG_NETWORK,N_LOG_ISOLATED,LOG_ISOLATED,EVENT_DATE,DETEC_DATE,ACCOUNT_DATE,YEAR_ACOUNT,N_IMPLEM_TYPE,GROSS_LOSS,INDIRECT_LOSS,NET_LOSS,N_ATTACK_L0,N_ATTACK_L1,N_ATTACK_L2,PERSONA1,PERSONA2,ATTACK_DURATION,SUCCESS_ATTACK,RECOVERED,RECOV_AMOUNT,RECOV_DATE
"Avenida Dom Vasco Da Gama 50 a, Lisbon",BANCO SANTANDER TOTTA,ST98,-9.22544,38.69942,0,0,Belrm,192.28,1143.74,1,2,2,3,36,2,11.58,4,50,4,15,2,9,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,3,0,0,0,0,0,0,17-Oct-2012 03:20,17-Oct-2012 03:27,30-Oct-2012 00:00,2012,1,50000,65000,65000,1,0102,010203,2,,0.08,0,1,50000,12-Mar-2013 00:00
"Avenida Dom Vasco Da Gama 50 a, Lisbon",BANCO SANTANDER TOTTA,ST98,-9.22544,38.69942,0,0,Belrm,192.28,1143.74,1,2,2,3,36,2,11.58,4,50,4,15,2,9,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,3,0,0,0,0,0,0,29-Nov-2010 02:00,29-Nov-2010 02:30,15-Dec-2010 00:00,2014,4,41000,0,0,1,0102,010203,2,,0.05,1,1,41000,15-Apr-2011 00:00
"Avenida Dom Vasco Da Gama 50 a, Lisbon",BANCO SANTANDER TOTTA,ST98,-9.22544,38.69942,0,0,Belrm,192.28,1143.74,0,2,2,3,36,2,11.58,4,50,4,15,2,9,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,3,0,0,0,0,0,0,22-Feb-2015 02:00,22-Feb-2015 03:00,30-Mar-2015 00:00,2015,3,18500,30000,33500,1,0102,010203,4,,0.03,1,1,15000,12-Jun-2015 00:00
"Rua Abranches Ferrao 17-B, Lisbon",BARCLAYS BANK,BB07,-9.1707,38.75117,0,0,Lumiar,719.80,1371.94,3,11,1,6,58,3,20.09,1,29,2,8,2,18,1,2,1,2,0,0,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-Oct-2015 21:30,25-Oct-2015 12:40,31-Oct-2015 00:00,2015,3,80,0,80,1,0101,010103,4,,0.41,1,0,0,
"Rua Abranches Ferrao 17-B, Lisbon",BARCLAYS BANK,BB07,-9.1707,38.75117,0,0,Lumiar,719.80,1371.94,3,11,1,6,58,3,20.09,1,29,2,8,2,18,1,2,1,2,0,0,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29-Jun-2015 15:15,29-Jun-2015 17:30,30-Jul-2015 12:00,2015,1,5640,500,6140,1,0101,010101,4,,2,1,0,0,
"Estrada Da Luz 106 D, Lisbon",BARCLAYS BANK,BB12,-9.17363,38.75224,0,0,Carnide,601.60,1245.62,0,11,1,4,40,4,33.16,1,28,3,12,2,9,1,2,1,2,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16-Apr-2011 11:00,16-Apr-2011 16:00,30-Apr-2011 12:00,2014,3,5320,0,5320,1,0101,010101,4,,10,1,0,0,
"Estrada Da Luz 106 D, Lisbon",BARCLAYS BANK,BB12,-9.17363,38.75224,0,0,Carnide,601.60,1245.62,0,11,1,4,40,4,33.16,1,28,3,12,2,9,1,2,1,2,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02-Dec-2011 09:00,10-Dec-2011 13:00,30-Dec-2011 12:00,2011,4,14000,0,14000,1,0101,010101,2,,8,1,0,0,
"Rua Tomas Da Fonseca TR G, Lisbon",BANCO BPI S.A.,BPI85,-9.16948,38.75579,0,1000,Lumiar,307.26,861.07,2,7,1,5,52,2,8.06,3,42,2,6,2,9,1,2,1,2,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27-Jul-2010 14:00,08-Aug-2010 16:00,30-Sep-2010 12:00,2010,3,8300,0,8300,1,0101,010101,2,,10,1,0,0,
"Rua Tomas Da Fonseca TR G, Lisbon",BANCO BPI S.A.,BPI85,-9.16948,38.75579,0,1000,Lumiar,307.26,861.07,3,7,1,5,52,2,8.06,3,42,2,6,2,9,1,2,1,2,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05-Jan-2015 05:00,06-Jan-2015 07:00,31-Jan-2015 12:00,2015,3,8590,0,8590,1,0101,010101,2,,24,1,0,0,
"Rua Tomas Da Fonseca TR C, Lisbon",BANCO BPI S.A.,BPI89,-9.17039,38.75606,0,1000,Lumiar,228.67,875.52,1,7,1,5,52,2,8.06,3,42,2,6,2,9,1,2,1,2,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-Oct-2015 09:00,30-Oct-2015 09:15,31-Oct-2015 00:00,2015,1,950,0,950,1,0101,010102,2,,0.16,1,0,0,
"Rua Tomas Da Fonseca TR C, Lisbon",BANCO BPI S.A.,BPI89,-9.17039,38.75606,0,1000,Lumiar,228.67,875.52,0,7,1,5,52,2,8.06,3,42,2,6,2,9,1,2,1,2,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-Oct-2011 16:30,06-Nov-2011 10:00,30-Nov-2011 12:00,2011,1,7400,0,7400,1,0101,010101,2,,10,1,0,0,
"Rua Tomas Da Fonseca 4 D, Lisbon",BANCO BPI S.A.,BPI95,-9.176,38.75579,0,0,Carnide,382.42,1000.02,0,11,1,5,50,3,16.78,1,26,2,7,2,9,1,2,1,2,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04-Jul-2012 14:45,11-Aug-2012 10:00,30-Aug-2012 12:00,2012,4,4800,0,4800,1,0101,010101,4,,6,1,0,0,
"Rua Tomas Da Fonseca 4 D, Lisbon",BANCO BPI S.A.,BPI95,-9.176,38.75579,0,0,Carnide,382.42,1000.02,0,11,1,5,50,3,16.78,1,26,2,7,2,9,1,2,1,2,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-Jun-2012 23:30,07-Jun-2012 12:00,30-Jun-2012 00:00,2012,3,1000,0,1000,1,0101,010102,4,,0.41,1,0,0,
"Estrada Laranjeiras 233, Lisbon",CAIXA GERAL DE DEPOSITOS,CGD02,-9.16982,38.74623,0,1000,Campolide,479.89,1367.56,2,11,1,6,60,1,0.12,1,27,2,8,2,9,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,1,0,0,0,0,0,0,06-Nov-2014 02:50,06-Nov-2014 05:00,01-Dec-2014 00:00,2014,4,12000,0,0,1,0102,010203,4,,0.18,0,1,12000,30-Mar-2015 00:00
"Estrada Laranjeiras 233, Lisbon",CAIXA GERAL DE DEPOSITOS,CGD02,-9.16982,38.74623,0,1000,Campolide,479.89,1367.56,0,11,1,6,60,1,0.12,1,27,2,8,2,9,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,1,0,0,0,0,0,0,25-Feb-2010 23:10,26-Feb-2010 07:30,31-Mar-2010 00:00,2014,4,12000,0,0,1,0102,010201,4,,0.05,1,1,12000,31-Jul-2010 00:00
"Rua Cipriano Dourado, Lisbon",CAIXA GERAL DE DEPOSITOS,CGD42,-9.15724,38.76099,0,1000,Lumiar,344.03,687.16,0,5,1,5,54,2,15.26,1,25,3,11,2,9,1,2,1,2,0,0,1,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04-Mar-2011 16:30,11-Mar-2011 10:00,31-Mar-2011 00:00,2011,3,60,0,60,1,0101,010103,4,,0.6,1,0,0,
"Rua Cipriano Dourado, Lisbon",CAIXA GERAL DE DEPOSITOS,CGD42,-9.15724,38.76099,0,1000,Lumiar,344.03,687.16,2,5,1,5,54,2,15.26,1,25,3,11,2,9,1,2,1,2,0,0,1,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05-Dec-2012 12:15,05-Dec-2012 12:30,31-May-2013 00:00,2012,1,780,0,780,1,0101,010102,4,,0.25,1,0,0,
"Campo Grande 4 C, Lisbon",BANCO COMERCIAL PORTUGUES,CP56,-9.15641,38.75619,0,1000,Lumiar,383.84,1026.28,2,7,1,6,60,1,0.07,3,41,2,8,2,9,1,2,1,2,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-Feb-2015 14:00,16-Mar-2015 07:00,30-Mar-2015 00:00,2015,4,15020,1000,16020,1,0101,010101,2,5,576,1,0,0,
"Campo Grande 4 C, Lisbon",BANCO COMERCIAL PORTUGUES,CP56,-9.15641,38.75619,0,1000,Lumiar,383.84,1026.28,0,7,1,6,60,1,0.07,3,41,2,8,2,9,1,2,1,2,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07-Feb-2012 10:00,09-Feb-2012 10:00,28-Feb-2012 12:00,2012,4,5900,0,5900,1,0101,010101,2,,8,1,0,0,
"Avenida Dos Combatentes, Lisbon",BANCO COMERCIAL PORTUGUES,CP60,-9.16132,38.74447,500,1000,Avenidas Novas,321.96,711.72,1,15,2,3,38,1,1.00,3,45,4,14,2,9,1,2,1,2,0,0,1,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14-Jul-2012 12:00,14-Jul-2012 15:00,31-Jul-2012 00:00,2012,3,450,0,450,1,0101,010104,4,,0.06,1,0,0,
"Avenida Dos Combatentes, Lisbon",BANCO COMERCIAL PORTUGUES,CP60,-9.16132,38.74447,500,1000,Avenidas Novas,321.96,711.72,1,15,2,3,38,1,1.00,3,45,4,14,2,9,1,2,1,2,0,0,1,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13-Apr-2012 19:00,18-Apr-2012 11:00,30-Apr-2012 00:00,2012,3,250,0,250,1,0101,010103,2,,0.6,1,0,0,
"Estrada Benfica 158, Lisbon",MONTEPIO GERAL,MG98,-9.18781,38.747,0,1000,Carnide,595.16,903.66,3,11,1,4,44,4,27.13,2,33,3,13,2,18,1,2,1,2,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02-Nov-2014 14:30,05-Dec-2014 18:30,30-Dec-2014 12:00,2014,3,15600,0,15600,1,0101,010101,2,,4,1,0,0,
"Estrada Benfica 158, Lisbon",MONTEPIO GERAL,MG98,-9.18781,38.747,0,1000,Carnide,595.16,903.66,0,11,1,4,44,4,27.13,2,33,3,13,2,18,1,2,1,2,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26-Mar-2015 19:40,27-Mar-2015 11:00,31-Mar-2015 00:00,2015,3,800,0,800,1,0101,010102,4,,0.5,1,0,0,
"Avenida Professor Egas Moniz, Lisbon",BANCO SANTANDER TOTTA,ST22,-9.16161,38.75009,500,1000,Avenidas Novas,724.47,1292.06,2,7,1,5,50,1,0.00,3,45,2,6,2,9,1,2,1,2,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,04-Jan-2015 19:00,05-Jan-2015 08:00,30-Jun-2015 00:00,2015,1,4100,6000,6000,1,0102,010204,3,6,0.1,1,1,4100,31-May-2015 00:00
"Avenida Professor Egas Moniz, Lisbon",BANCO SANTANDER TOTTA,ST22,-9.16161,38.75009,500,1000,Avenidas Novas,724.47,1292.06,0,7,1,5,50,1,0.00,3,45,2,6,2,9,1,2,1,2,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,16-Apr-2013 19:45,17-Apr-2013 10:30,30-Apr-2013 00:00,2014,3,850,0,850,1,0101,010102,4,,0.25,1,0,0,
"Rua Soeiro Pereira Gomes LT 1, Lisbon",BANCO SANTANDER TOTTA,ST23,-9.16035,38.74478,500,1000,Avenidas Novas,410.48,702.13,1,15,2,3,38,1,1.00,4,50,4,18,2,9,1,2,1,2,0,0,1,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15-Dec-2011 17:00,15-Dec-2011 17:40,31-Dec-2011 00:00,2012,4,0,0,0,1,0101,010103,4,,0.6,0,0,0,
"Rua Soeiro Pereira Gomes LT 1, Lisbon",BANCO SANTANDER TOTTA,ST23,-9.16035,38.74478,500,1000,Avenidas Novas,410.48,702.13,1,15,2,3,38,1,1.00,4,50,4,18,2,9,1,2,1,2,0,0,1,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15-Jan-2014 11:30,15-Jan-2014 11:45,31-Jan-2014 00:00,2014,1,900,0,900,1,0101,010102,4,,0.5,1,0,0,
"Estrada De Benfica 424, Lisbon",BARCLAYS BANK,BB16,-9.18455,38.74664,0,0,Carnide,679.20,976.78,0,11,1,5,52,4,26.89,1,28,3,12,2,9,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24-Mar-2013 08:00,24-Mar-2013 08:00,30-Apr-2013 12:00,2013,1,0,300,300,1,0101,010101,4,,2,0,0,0,
"Rua Fernando Namora 24, Lisbon",BANCO BIC PORTUGUES,BP14,-9.17572,38.76013,0,1000,Carnide,418.70,861.37,3,5,1,5,50,4,33.98,1,27,3,11,2,9,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07-Feb-2013 20:45,16-Feb-2013 12:00,28-Feb-2013 00:00,2014,4,135,0,135,1,0101,010103,4,,0.75,1,0,0,
"Rua Tomas Da Fonseca, Lisbon",BANCO BIC PORTUGUES,BP15,-9.16948,38.75579,0,1000,Lumiar,307.26,861.07,0,7,1,5,52,2,8.06,3,42,2,6,2,9,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05-Sep-2011 06:30,16-Sep-2011 10:00,30-Sep-2011 12:00,2011,3,5140,0,5140,1,0101,010101,2,,10,1,0,0,
"Estrada Da Luz LT 6, Lisbon",BANCO BPI S.A.,BPI03,-9.17,38.74672,0,1000,Avenidas Novas,521.55,1417.10,0,11,1,4,44,1,5.92,2,34,3,13,2,9,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14-Feb-2011 10:30,17-Feb-2011 12:00,28-Feb-2011 00:00,2014,1,15,0,15,1,0101,010103,4,,0.41,1,0,0,
"Avenida Marechal Craveiro Lopes, Lisbon",BANCO BPI S.A.,BPI04,-9.14026,38.76319,0,0,Lumiar,640.77,932.50,0,7,0,5,50,1,0.16,2,35,2,5,2,9,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26-Nov-2012 18:00,30-Nov-2012 10:00,31-Dec-2012 00:00,2012,4,150,0,150,1,0101,010103,4,,2,1,0,0,
"Estrada Da Luz LT 6, Lisbon",BANCO BPI S.A.,BPI09,-9.17,38.74672,0,1000,Avenidas Novas,521.55,1417.10,1,11,1,4,44,1,5.92,2,34,3,13,2,9,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-Oct-2011 19:00,08-Dec-2011 10:00,30-Dec-2011 12:00,2014,3,5200,0,5200,1,0101,010101,2,,2,1,0,0,
"Rua Francisco Stromp Lote 1, Lisbon",BANCO BPI S.A.,BPI13,-9.15716,38.76347,0,1000,Lumiar,589.26,675.14,0,5,1,4,42,2,9.56,2,33,2,9,2,9,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,01-Aug-2014 22:00,01-Aug-2014 22:01,01-Sep-2014 00:00,2014,1,200,0,0,2,0202,020201,4,,0.8,0,1,200,15-Dec-2014 00:00
"Avenida Lusiada, Lisbon",BANCO BPI S.A.,BPI24,-9.18017,38.75002,0,0,Carnide,676.24,851.82,0,11,1,6,60,1,4.04,1,30,2,7,2,18,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,01-Jan-2011 06:30,01-Jan-2011 07:00,30-Jan-2011 00:00,2014,1,52000,41000,41000,1,0102,010203,4,,0.16,0,1,52000,12-May-2011 00:00
"Estrada De Benfica 519, Lisbon",BANCO BPI S.A.,BPI35,-9.19278,38.7494,0,1000,Benfica,573.97,694.24,1,21,1,3,36,1,0.44,3,42,2,7,4,28,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-Nov-2013 18:00,30-Nov-2013 15:00,31-Dec-2013 00:00,2014,3,250,0,3000,1,0101,010104,2,,0.08,1,0,0,
"Avenida Lusiada Loja 705, Lisbon",BANCO BPI S.A.,BPI39,-9.18017,38.75002,0,0,Carnide,676.24,851.82,2,11,1,6,60,1,4.04,1,30,2,7,2,18,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09-Sep-2013 10:00,09-Sep-2013 19:30,30-Jul-2013 12:00,2013,1,580,0,580,1,0101,010101,2,,4,1,0,0,
"Estrada De Benfica 765 a, Lisbon",BANCO BPI S.A.,BPI54,-9.20605,38.75208,0,1000,Benfica,691.51,928.84,0,21,1,3,34,4,30.75,3,41,3,11,2,18,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-Aug-2015 11:30,30-Aug-2015 15:00,31-Aug-2015 00:00,2015,3,170,0,170,1,0101,010103,4,,0.6,1,0,0,
"Rua Agostinho Neto Lote 6/7, Lisbon",BANCO BPI S.A.,BPI59,-9.15289,38.76316,500,1000,Lumiar,488.69,516.17,2,5,1,5,48,2,14.95,2,34,2,9,2,9,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19-Apr-2010 15:00,29-Apr-2010 16:00,30-May-2010 12:00,2014,4,16300,0,16300,1,0101,010101,2,5,20,1,0,0,
"Rua Agostinho Neto Lote 6/7, Lisbon",BANCO BPI S.A.,BPI79,-9.15289,38.76316,500,1000,Lumiar,488.69,516.17,2,5,1,5,48,2,14.95,2,34,2,9,2,9,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10-Jul-2010 12:15,10-Jul-2010 12:20,30-Jul-2010 12:00,2014,4,1000,0,0,1,0101,010101,2,,0.08,0,1,1000,30-Aug-2012 00:00
"Estrada De Benfica 519, Lisbon",BANCO BPI S.A.,BPI84,-9.19278,38.7494,0,1000,Benfica,573.97,694.24,1,21,1,3,36,1,0.44,3,42,2,7,4,28,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17-Apr-2013 13:40,17-Apr-2013 14:00,30-Apr-2013 00:00,2014,1,900,0,900,1,0101,010102,2,,0.16,1,0,0,
"Estrada Da Luz LT 6, Lisbon",BANCO BPI S.A.,BPI97,-9.17,38.74672,0,1000,Avenidas Novas,521.55,1417.10,1,11,1,4,44,1,5.92,2,34,3,13,2,9,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-Oct-2014 11:00,07-Oct-2014 12:00,31-Oct-2014 00:00,2014,3,630,0,630,1,0101,010102,4,,0.41,1,0,0,
"Estrada Benfica 503 - 2, Lisbon",CAIXA CENTRAL DE CREDITO AGRICOLA MUTUO,CCCAM06,-9.19071,38.74901,0,1000,Carnide,471.57,735.96,1,21,1,4,40,2,7.63,3,42,3,12,4,28,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15-Apr-2013 20:00,16-Apr-2013 15:00,30-Apr-2013 00:00,2014,3,400,0,400,1,0101,010104,2,,0.08,1,0,0,
